,Campaign,Campaign ID,Site (DCM),Month,Platform,Placement,Creative Type,Impressions,Clicks,Publisher,Cost,Estimate code
0,Evergreen_Prog-Main-Breakfast_Auction_Display - Video_NON_NON|_Q1_2021_MCD_Tier 2_INM_STO_NON_NON,24919564,Canvas Programmatic,2021-06-01,DCM,BFS_CRP_ISV_CANVAS PROGRAMMATIC_0x0_DVFB_NON_N_NON_|STO_BFS_Programmatic_OPX_TTD Breakfast HCM|_BHT_N_P2+++_HSP,In-Stream Video,1,0,DCM,0.00,75560.0
1,Evergreen_Prog-Main-Breakfast_Auction_Display - Video_NON_NON|_Q1_2021_MCD_Tier 2_INM_STO_NON_NON,24919564,Canvas Programmatic,2021-06-01,DCM,BFS_CRP_STD_CANVAS PROGRAMMATIC_160x600_DVR_NON_N_NON_|STO_BFS_Programmatic_OPX_TTD Breakfast GCM|_BHT_N_P2+++_NON,Display,1,0,DCM,0.00,75560.0
2,Evergreen_Prog-Main-Breakfast_Auction_Display - Video_NON_NON|_Q1_2021_MCD_Tier 2_INM_STO_NON_NON,24919564,Canvas Programmatic,2021-06-01,DCM,BFS_CRP_STD_CANVAS PROGRAMMATIC_728x90_DVR_NON_N_NON_|STO_BFS_Programmatic_OPX_TTD Breakfast GCM|_BHT_N_P2+++_NON,Display,2,0,DCM,0.00,75560.0
3,Evergreen_Prog-Main-Breakfast_Auction_Display - Video_NON_NON|_Q1_2021_MCD_Tier 2_INM_STO_NON_NON,24919564,Canvas Programmatic,2021-06-01,DCM,BFS_CRP_STD_CANVAS PROGRAMMATIC_728x90_DVR_NON_N_NON_|STO_BFS_Programmatic_OPX_TTD Breakfast HCM|_BHT_N_P2+++_HSP,Display,3,0,DCM,0.00,75560.0
4,Evergreen_Prog-Main-Breakfast_Auction_Display - Video_NON_NON|_Q1_2021_MCD_Tier 2_INM_STO_NON_NON,24919564,Canvas Programmatic,2021-06-01,DCM,BFS_CRP_STD_CANVAS PROGRAMMATIC_970x250_DVR_NON_N_NON_|STO_BFS_Programmatic_OPX_TTD Breakfast GCM|_BHT_N_P2+++_NON,Display,1,0,DCM,0.00,75560.0
5,Evergreen_ProgDigitalTV_Auction_Cross Channel_NON_NON|_Q1_2021_HYU_Tier 2A_LIF_MAT_BAL_NON,24950180,Canvas Programmatic,2021-06-01,DCM,MAT_BAL_HYU_CRP_CRC_HYU_RMR_P2+++_NON_CANVAS PROGRAMMATIC_LIF_PMP_NON_VCR_|ACRRemarketingPremiumFEP-:30-Multi-T2A|_0x0_None_DVFB_NON_N_No Button_N_ISV,In-Stream Video,26037,49,DCM,6.51,75563.0
6,Evergreen_ProgDigitalTV_Auction_Cross Channel_NON_NON|_Q1_2021_HYU_Tier 2A_LIF_MAT_BAL_NON,24950180,Canvas Programmatic,2021-06-01,DCM,MAT_BAL_HYU_CRP_CRC_IMP_CNQ_P2+++_NON_CANVAS PROGRAMMATIC_LIF_PMP_NON_VCR_|ACRConquestingPremiumFEP-:30-Multi-T2A|_0x0_None_DVFB_NON_N_No Button_N_ISV,In-Stream Video,16105,19,DCM,4.03,75563.0
7,Evergreen_ProgDigitalTV_Auction_Cross Channel_NON_NON|_Q1_2021_HYU_Tier 2A_LIF_MAT_BAL_NON,24950180,Canvas Programmatic,2021-06-01,DCM,MAT_BAL_HYU_CRP_CRC_NON_DMT_A2554_NON_CANVAS PROGRAMMATIC_LIF_PMP_NON_VCR_|DemoPMPPremiumFEP-:30-Multi-T2A|_0x0_None_DVFB_NON_N_No Button_N_ISV,In-Stream Video,93514,88,DCM,23.38,75563.0
8,Evergreen_ProgDigitalTV_Auction_Cross Channel_NON_NON|_Q1_2021_HYU_Tier 2A_LIF_MAT_BAL_NON,24950180,Canvas Programmatic,2021-06-01,DCM,MAT_BAL_HYU_CTV_CRC_HYU_RMR_P2+++_NON_CANVAS PROGRAMMATIC_LIF_PMP_NON_VCR_|ACRRemarketingPremiumCTV-:30-Multi-T2A|_0x0_None_DVFM_NON_N_No Button_N_ISV,In-Stream Video,30834,2,DCM,7.71,75563.0
9,Evergreen_ProgDigitalTV_Auction_Cross Channel_NON_NON|_Q1_2021_HYU_Tier 2A_LIF_MAT_BAL_NON,24950180,Canvas Programmatic,2021-06-01,DCM,MAT_BAL_HYU_CTV_CRC_IMP_CNQ_P2+++_NON_CANVAS PROGRAMMATIC_LIF_PMP_NON_VCR_|ACRConquestingPremiumCTV-:30-Multi-T2A|_0x0_None_DVFM_NON_N_No Button_N_ISV,In-Stream Video,32190,2,DCM,8.05,75563.0
10,Evergreen_ProgDigitalTV_Auction_Cross Channel_NON_NON|_Q1_2021_HYU_Tier 2A_LIF_MAT_BAL_NON,24950180,Canvas Programmatic,2021-06-01,DCM,MAT_BAL_HYU_CTV_CRC_NON_DMT_A2554_NON_CANVAS PROGRAMMATIC_LIF_PMP_NON_VCR_|DemoPMPPremiumCTV-:30-Multi-T2A|_0x0_None_DVFM_NON_N_No Button_N_ISV,In-Stream Video,177981,0,DCM,44.50,75563.0
11,Evergreen_ProgVUFTTD_Auction_Cross Channel_NON_NON|_Q1_2021_HYU_Tier 1_LIF_NAT_NAT_NON,24950537,Canvas Programmatic,2021-06-01,DCM,NAT_NAT_HYU_CRP_VID_IMP_DMT_A1849_NON_CANVAS PROGRAMMATIC_LIF_PML_NON_BRL_|CTV-LALM-:15|_VPR_None_DVFM_NON_N_No Button_N_ISV,In-Stream Video,256354,6,DCM,64.09,75565.0
12,Evergreen_ProgVUFTTD_Auction_Cross Channel_NON_NON|_Q1_2021_HYU_Tier 1_LIF_NAT_NAT_NON,24950537,Canvas Programmatic,2021-06-01,DCM,NAT_NAT_HYU_CRP_VID_IMP_DMT_A1849_NON_CANVAS PROGRAMMATIC_LIF_PML_NON_BRL_|CTV-LALM-:30|_VPR_None_DVFM_NON_N_No Button_N_ISV,In-Stream Video,215836,7,DCM,53.96,75565.0
13,Evergreen_ProgVUFTTD_Auction_Cross Channel_NON_NON|_Q1_2021_HYU_Tier 1_LIF_NAT_NAT_NON,24950537,Canvas Programmatic,2021-06-01,DCM,NAT_NAT_HYU_CRP_VID_IMP_DMT_A1849_NON_CANVAS PROGRAMMATIC_LIF_PMP_PLT_BRL_|CTV-Pluto-:15|_VPR_None_DVFM_NON_N_No Button_N_ISV,In-Stream Video,3183272,0,DCM,795.82,75565.0
14,Evergreen_ProgVUFTTD_Auction_Cross Channel_NON_NON|_Q1_2021_HYU_Tier 1_LIF_NAT_NAT_NON,24950537,Canvas Programmatic,2021-06-01,DCM,NAT_NAT_HYU_CRP_VID_IMP_DMT_A1849_NON_CANVAS PROGRAMMATIC_LIF_PMP_PLT_BRL_|CTV-Pluto-:30|_VPR_None_DVFM_NON_N_No Button_N_ISV,In-Stream Video,2572518,0,DCM,643.13,75565.0
15,Evergreen_ProgVUFTTD_Auction_Cross Channel_NON_NON|_Q1_2021_HYU_Tier 1_LIF_NAT_NAT_NON,24950537,Canvas Programmatic,2021-06-01,DCM,NAT_NAT_HYU_CRP_VID_IMP_DMT_A1849_NON_CANVAS PROGRAMMATIC_LIF_PMP_SLG_BRL_|CTV-SlingTV-:15|_VPR_None_DVFM_NON_N_No Button_N_ISV,In-Stream Video,182681,0,DCM,45.67,75565.0
16,Evergreen_ProgVUFTTD_Auction_Cross Channel_NON_NON|_Q1_2021_HYU_Tier 1_LIF_NAT_NAT_NON,24950537,Canvas Programmatic,2021-06-01,DCM,NAT_NAT_HYU_CRP_VID_IMP_DMT_A1849_NON_CANVAS PROGRAMMATIC_LIF_PMP_SLG_BRL_|CTV-SlingTV-:30|_VPR_None_DVFM_NON_N_No Button_N_ISV,In-Stream Video,250772,0,DCM,62.69,75565.0
17,Evergreen_ProgVUFTTD_Auction_Cross Channel_NON_NON|_Q1_2021_HYU_Tier 1_LIF_NAT_NAT_NON,24950537,Canvas Programmatic,2021-06-01,DCM,NAT_NAT_HYU_CRP_VID_IMP_DMT_A1849_NON_CANVAS PROGRAMMATIC_LIF_PMP_SPX_BRL_|OLVPMP-SpotX-:15|_VPR_None_DVFB_NON_N_No Button_N_ISV,In-Stream Video,69193,185,DCM,17.30,75565.0
18,Evergreen_ProgVUFTTD_Auction_Cross Channel_NON_NON|_Q1_2021_HYU_Tier 1_LIF_NAT_NAT_NON,24950537,Canvas Programmatic,2021-06-01,DCM,NAT_NAT_HYU_CRP_VID_IMP_DMT_A1849_NON_CANVAS PROGRAMMATIC_LIF_PMP_SPX_BRL_|OLVPMP-SpotX-:30|_VPR_None_DVFB_NON_N_No Button_N_ISV,In-Stream Video,75199,254,DCM,18.80,75565.0
19,Evergreen_ProgVUFTTD_Auction_Cross Channel_NON_NON|_Q1_2021_HYU_Tier 1_LIF_NAT_NAT_NON,24950537,Canvas Programmatic,2021-06-01,DCM,NAT_NAT_HYU_CRP_VID_IMP_DMT_A1849_NON_CANVAS PROGRAMMATIC_LIF_PMP_TDS_BRL_|OLVPMP-Teads-:15|_VPR_None_DVFB_NON_N_No Button_N_ISV,In-Stream Video,137933,198,DCM,34.48,75565.0
20,Evergreen_ProgVUFTTD_Auction_Cross Channel_NON_NON|_Q1_2021_HYU_Tier 1_LIF_NAT_NAT_NON,24950537,Canvas Programmatic,2021-06-01,DCM,NAT_NAT_HYU_CRP_VID_IMP_DMT_A1849_NON_CANVAS PROGRAMMATIC_LIF_PMP_TDS_BRL_|OLVPMP-Teads-:30|_VPR_None_DVFB_NON_N_No Button_N_ISV,In-Stream Video,123582,244,DCM,30.90,75565.0
21,Evergreen_ProgVUFTTD_Auction_Cross Channel_NON_NON|_Q1_2021_HYU_Tier 1_LIF_NAT_NAT_NON,24950537,Canvas Programmatic,2021-06-01,DCM,NAT_NAT_HYU_CRP_VID_IMP_DMT_A1849_NON_CANVAS PROGRAMMATIC_LIF_PMP_TEL_BRL_|OLVPMP-Telaria-:15|_VPR_None_DVFB_NON_N_No Button_N_ISV,In-Stream Video,137449,173,DCM,34.36,75565.0
22,Evergreen_ProgVUFTTD_Auction_Cross Channel_NON_NON|_Q1_2021_HYU_Tier 1_LIF_NAT_NAT_NON,24950537,Canvas Programmatic,2021-06-01,DCM,NAT_NAT_HYU_CRP_VID_IMP_DMT_A1849_NON_CANVAS PROGRAMMATIC_LIF_PMP_TEL_BRL_|OLVPMP-Telaria-:30|_VPR_None_DVFB_NON_N_No Button_N_ISV,In-Stream Video,109545,133,DCM,27.39,75565.0
23,Evergreen_ProgVUFTTD_Auction_Cross Channel_NON_NON|_Q1_2021_HYU_Tier 1_LIF_NAT_NAT_NON,24950537,Canvas Programmatic,2021-06-01,DCM,NAT_NAT_HYU_CRP_VID_IMP_DMT_A1849_NON_CANVAS PROGRAMMATIC_LIF_PMP_TLT_BRL_|OLVPMP-TripleLift-HighImpact-:15|_VPR_None_DVFB_NON_N_No Button_N_ISV,In-Stream Video,122022,0,DCM,30.51,75565.0
24,Evergreen_ProgVUFTTD_Auction_Cross Channel_NON_NON|_Q1_2021_HYU_Tier 1_LIF_NAT_NAT_NON,24950537,Canvas Programmatic,2021-06-01,DCM,NAT_NAT_HYU_CRP_VID_IMP_DMT_A1849_NON_CANVAS PROGRAMMATIC_LIF_PMP_TLT_BRL_|OLVPMP-TripleLift-HighImpact-:30|_VPR_None_DVFB_NON_N_No Button_N_ISV,In-Stream Video,156027,0,DCM,39.01,75565.0
25,Evergreen_ProgVUFTTD_Auction_Cross Channel_NON_NON|_Q1_2021_HYU_Tier 1_LIF_NAT_NAT_NON,24950537,Canvas Programmatic,2021-06-01,DCM,NAT_NAT_HYU_CRP_VID_IMP_DMT_A1849_NON_CANVAS PROGRAMMATIC_LIF_PMP_TUB_BRL_|CTV-Tubi-ROS-:15|_VPR_None_DVFM_NON_N_No Button_N_ISV,In-Stream Video,741416,1,DCM,185.35,75565.0
26,Evergreen_ProgVUFTTD_Auction_Cross Channel_NON_NON|_Q1_2021_HYU_Tier 1_LIF_NAT_NAT_NON,24950537,Canvas Programmatic,2021-06-01,DCM,NAT_NAT_HYU_CRP_VID_IMP_DMT_A1849_NON_CANVAS PROGRAMMATIC_LIF_PMP_TUB_BRL_|CTV-Tubi-ROS-:30|_VPR_None_DVFM_NON_N_No Button_N_ISV,In-Stream Video,722354,1,DCM,180.59,75565.0
27,Evergreen_ProgVUFTTD_Auction_Cross Channel_NON_NON|_Q1_2021_HYU_Tier 1_LIF_NAT_NAT_NON,24950537,Canvas Programmatic,2021-06-01,DCM,NAT_NAT_HYU_CRP_VID_IMP_DMT_A1849_NON_CANVAS PROGRAMMATIC_LIF_PMP_TUB_BRL_|CTV-Tubi-Targeted-:15|_VPR_None_DVFM_NON_N_No Button_N_ISV,In-Stream Video,756111,0,DCM,189.03,75565.0
28,Evergreen_ProgVUFTTD_Auction_Cross Channel_NON_NON|_Q1_2021_HYU_Tier 1_LIF_NAT_NAT_NON,24950537,Canvas Programmatic,2021-06-01,DCM,NAT_NAT_HYU_CRP_VID_IMP_DMT_A1849_NON_CANVAS PROGRAMMATIC_LIF_PMP_TUB_BRL_|CTV-Tubi-Targeted-:30|_VPR_None_DVFM_NON_N_No Button_N_ISV,In-Stream Video,743001,0,DCM,185.75,75565.0
29,Evergreen_ProgVUFTTD_Auction_Cross Channel_NON_NON|_Q1_2021_HYU_Tier 1_LIF_NAT_NAT_NON,24950537,Canvas Programmatic,2021-06-01,DCM,NAT_NAT_HYU_CRP_VID_IMP_DMT_A1849_NON_CANVAS PROGRAMMATIC_LIF_PMP_UNR_BRL_|OLVPMP-Unruly-:15|_VPR_None_DVFB_NON_N_No Button_N_ISV,In-Stream Video,274710,390,DCM,68.68,75565.0
30,Evergreen_ProgVUFTTD_Auction_Cross Channel_NON_NON|_Q1_2021_HYU_Tier 1_LIF_NAT_NAT_NON,24950537,Canvas Programmatic,2021-06-01,DCM,NAT_NAT_HYU_CRP_VID_IMP_DMT_A1849_NON_CANVAS PROGRAMMATIC_LIF_PMP_UNR_BRL_|OLVPMP-Unruly-:30|_VPR_None_DVFB_NON_N_No Button_N_ISV,In-Stream Video,277500,520,DCM,69.38,75565.0
31,Evergreen_ProgVUFTTD_Auction_Cross Channel_NON_NON|_Q1_2021_HYU_Tier 1_LIF_NAT_NAT_NON,24950537,Canvas Programmatic,2021-06-01,DCM,NAT_NAT_HYU_CRP_VID_IMP_DMT_A1849_NON_CANVAS PROGRAMMATIC_LIF_PMP_XUM_BRL_|CTV-Xumo-:15|_VPR_None_DVFM_NON_N_No Button_N_ISV,In-Stream Video,351080,0,DCM,87.77,75565.0
32,Evergreen_ProgVUFTTD_Auction_Cross Channel_NON_NON|_Q1_2021_HYU_Tier 1_LIF_NAT_NAT_NON,24950537,Canvas Programmatic,2021-06-01,DCM,NAT_NAT_HYU_CRP_VID_IMP_DMT_A1849_NON_CANVAS PROGRAMMATIC_LIF_PMP_XUM_BRL_|CTV-Xumo-:30|_VPR_None_DVFM_NON_N_No Button_N_ISV,In-Stream Video,251809,2,DCM,62.95,75565.0
33,Evergreen_ProgVUFTTD_Auction_Cross Channel_NON_NON|_Q1_2021_HYU_Tier 1_LIF_NAT_NAT_NON,24950537,Canvas Programmatic,2021-06-01,DCM,NAT_NAT_HYU_CRP_VID_NON_DMT_A1849_NON_CANVAS PROGRAMMATIC_LIF_PMP_KAR_VCR_|HighImpact-Horizontal-:15-Kargo-T1|_0x0_1x1_NON_NON_N_No Button_N_ISV,Tracking,55558,190,DCM,1.94,75565.0
