,Sheet Name,Primary,Client Name,Est,Estimate Name,Month of Service,Product Name,Ordered,Status,Publisher,Billed,Missing Invoice/Incorrect Placement,Assigned To,Due Date,Placement name,Placement ID,Actual Net Billable,Approval Status,Estimate Status
0,2021-08_MSCT_South Central Texas Digital Grid,CWW,McDonald's South Central Texas,75561,Evergreen_Prog-Main-Breakfast_,2021-08-01,BREAKFAST,26616.0,Approved,CANVAS,0.0,,Sally Cai,2021-08-09,NAT_NAT_BFS_CRP_CRC_NON_P2+++_NON_CANVAS PROGRAMMATIC_NON_OPX_NON_VCR_MSCT - Sct - Main - BFS - DV360 - TrV_0x0_None_DVB_NON_N_No Button_N_NON,P1NQXF6,7000.0,"Media Buy (Ordered <> Billable): Delta = $19,616.00",Dependent
1,2021-08_MSCT_South Central Texas Digital Grid,CWW,McDonald's South Central Texas,75561,Evergreen_Prog-Main-Breakfast_,2021-08-01,BREAKFAST,26616.0,Approved,CANVAS,0.0,,Sally Cai,2021-08-09,NAT_NAT_BFS_CRP_CRC_NON_P2+++_NON_CANVAS PROGRAMMATIC_NON_OPX_NON_VCR_MSCT - Sct - Main - Breakfast - TTD - Basic_0x0_None_DVB_NON_N_No Button_N_NON,P1JTSWC,19616.0,"Media Buy (Ordered <> Billable): Delta = $7,000.00",Dependent
2,2021-07_HDA6 Mid Atlantic Digital Grid,CWW,IWA_Hyundai_Tier2_Mid Atlantic,75562,Evergreen_ProgDigitalTV_Auctio,2021-06-01,Basebuy,12366.97,Approved,CANVAS,11988.38,,Luke Goldstein,2021-07-06,MAT_BAL_HYU_CRP_CRC_NON_BTC_P2+++_NON_CANVAS PROGRAMMATIC_LIF_OPX_NON_VCR_HDAA - MAT - BAL - DigitalTV - TTD - Basic_0x0_None_DVB_NON_N_No Button_N_NON,P1JSHGP,12361.94,Media Buy (Ordered <> Billable): Delta = $5.03,Dependent
3,2021-07_HDA6 Mid Atlantic Digital Grid,CWW,IWA_Hyundai_Tier2_Mid Atlantic,75562,Evergreen_ProgDigitalTV_Auctio,2021-07-01,Basebuy,9133.64,Approved,CANVAS,0.0,,Luke Goldstein,2021-07-06,MAT_BAL_HYU_CRP_CRC_NON_BTC_P2+++_NON_CANVAS PROGRAMMATIC_LIF_OPX_NON_VCR_HDAA - MAT - BAL - DigitalTV - TTD - Basic_0x0_None_DVB_NON_N_No Button_N_NON,P1JSHGP,9133.64,Media Buy: Approved,Dependent
4,2021-08_HDA6 Mid Atlantic Digital Grid,CWW,IWA_Hyundai_Tier2_Mid Atlantic,75562,Evergreen_ProgDigitalTV_Auctio,2021-08-01,Basebuy,12912.41,Approved,CANVAS,0.0,,Luke Goldstein,2021-08-05,MAT_BAL_HYU_CRP_CRC_NON_BTC_P2+++_NON_CANVAS PROGRAMMATIC_LIF_OPX_NON_VCR_HDAA - MAT - BAL - DigitalTV - TTD - Basic_0x0_None_DVB_NON_N_No Button_N_NON,P1JSHGP,12912.41,Media Buy: Approved,Dependent
5,2021-07_HDA6 Mid Atlantic Digital Grid,CWW,IWA_Hyundai_Tier2_Mid Atlantic,75563,Evergreen_ProgDigitalTV_Auctio,2021-06-01,Fees,126.19,Approved,DBLVERIF,315.49,,Luke Goldstein,2021-07-06,NON_NON_NON_NON_NON_NON_NON_NON_NON_DOUBLE VERIFY_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON,P1JSHH2,22.04,Fee Buy: Unknown,
6,2021-07_HDA6 Mid Atlantic Digital Grid,CWW,IWA_Hyundai_Tier2_Mid Atlantic,75563,Evergreen_ProgDigitalTV_Auctio,2021-06-01,Fees,126.19,Approved,DCM,315.49,,Luke Goldstein,2021-07-06,NON_NON_NON_NON_NON_NON_NON_NON_NON_DCM_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON,P1JSHGZ,94.17,Fee Buy: Unknown,
7,2021-08_HDA6 Mid Atlantic Digital Grid,CWW,IWA_Hyundai_Tier2_Mid Atlantic,75563,Evergreen_ProgDigitalTV_Auctio,2021-06-01,Fees,22.04,Approved,DBLVERIF,126.19,,Luke Goldstein,2021-08-05,NON_NON_NON_NON_NON_NON_NON_NON_NON_DOUBLE VERIFY_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON,P1JSHH2,22.04,Fee Buy: Unknown,
8,2021-08_HDA6 Mid Atlantic Digital Grid,CWW,IWA_Hyundai_Tier2_Mid Atlantic,75563,Evergreen_ProgDigitalTV_Auctio,2021-06-01,Fees,94.17,Approved,DCM,126.19,,Luke Goldstein,2021-08-05,NON_NON_NON_NON_NON_NON_NON_NON_NON_DCM_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON,P1JSHGZ,94.17,Fee Buy: Unknown,
9,2021-07_HDA6 Mid Atlantic Digital Grid,CWW,IWA_Hyundai_Tier2_Mid Atlantic,75563,Evergreen_ProgDigitalTV_Auctio,2021-07-01,Fees,26.19,Approved,DBLVERIF,0.0,,Luke Goldstein,2021-07-06,NON_NON_NON_NON_NON_NON_NON_NON_NON_DOUBLE VERIFY_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON_NON,P1JSHH2,130.34,Fee Buy: Unknown,
